SHALLOWCTDID,CTDDATAKEY,CTDCASTID,ASSOC_OCC_SITEID,ASSOC_REA_SITE,CRUISE,REGIONCODE,REGION,LOCATIONCODE,LOCATION,LATITUDE,LONGITUDE,UTCDATETIME,CASTYEAR,WATERSAMPLE,OFFSHORE_YN,SURVEY_DESIGN,PRESSURE_DB,DEPTH_M,TEMP_DEGC,COND_S_PER_M,SALN_PSU,DENSITY_SIGMAT
HA1606_MHI_OAH_SN4818_005,290232,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,1.005,1.021,27.653,5.553839,34.7835,22.3389
HA1606_MHI_OAH_SN4818_005,290233,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,2.011,1.942,27.5518,5.564845,34.9233,22.4823
HA1606_MHI_OAH_SN4818_005,290234,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,3.017,2.982,27.5348,5.561801,34.9106,22.4763
HA1606_MHI_OAH_SN4818_005,290235,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,4.022,4.005,27.5083,5.558902,34.912,22.4869
HA1606_MHI_OAH_SN4818_005,290236,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,5.028,4.991,27.5031,5.558437,34.9155,22.4926
HA1606_MHI_OAH_SN4818_005,290237,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,6.033,5.994,27.4987,5.557924,34.9134,22.4918
HA1606_MHI_OAH_SN4818_005,290238,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,7.039,7.008,27.4913,5.557165,34.9136,22.4945
HA1606_MHI_OAH_SN4818_005,290239,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,8.045,8,27.4881,5.556842,34.9138,22.4959
HA1606_MHI_OAH_SN4818_005,290240,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,9.05,8.987,27.4847,5.556501,34.9136,22.4968
HA1606_MHI_OAH_SN4818_005,290241,3931,OCC-OAH-012,OAH-25,HA1606_MHI,MHI,Hawaiian Archipelago,OAH,Oahu,21.53411868,-158.23439855,2016-08-19 23:20:00,2016,TRUE,NO,Permanent,10.056,9.996,27.4805,5.556005,34.9128,22.4975
