Station,Latitude,Longitutde,ISO_DateTime_UTC,Depth,pH,Temperature,Salinity,Fluorescence,Oxygen_mg_L,Oxygen_mM_L,pH_corrected,Pressure
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,1,8.083,13.1825,29.7905,4.5614,7.7163,241.137,7.840031501,1.009
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,2,8.078,13.0531,29.8827,4.2235,7.4193,231.855,7.835031501,2.017
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,3,8.071,12.9184,29.9563,3.6185,7.2714,227.235,7.828031501,3.025
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,4,8.063,12.7657,30.0271,3.3374,7.2605,226.894,7.820031501,4.034
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,5,8.055,12.7614,30.03,3.239,7.2576,226.803,7.812031501,5.042
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,6,8.05,12.774,30.0242,3.2009,7.23,225.939,7.807031501,6.051
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,7,8.046,12.7453,30.0312,3.1473,7.1223,222.576,7.803031501,7.059
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,8,8.042,12.5136,30.1273,3.0592,6.8459,213.938,7.799031501,8.068
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,9,8.025,12.3428,30.2042,2.1321,6.7186,209.96,7.782031501,9.076
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,10,8.014,12.2585,30.2519,1.8171,6.673,208.535,7.771031501,10.085
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,11,8.011,12.2248,30.2746,1.5192,6.6447,207.649,7.768031501,11.093
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,12,8.006,12.1562,30.3272,1.3343,6.6063,206.449,7.763031501,12.102
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,13,8.004,12.1341,30.3425,1.2599,6.5505,204.705,7.761031501,13.11
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,14,8.001,12.0714,30.3886,1.2095,6.5082,203.383,7.758031501,14.119
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,15,7.998,12.062,30.3941,1.0648,6.5344,204.204,7.755031501,15.127
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,16,7.997,12.0617,30.3936,1.071,6.5205,203.768,7.754031501,16.136
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,17,7.997,12.0467,30.4058,1.0026,6.4977,203.055,7.754031501,17.144
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,18,7.995,12.0372,30.413,0.856,6.487,202.722,7.752031501,18.153
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,19,7.994,12.0201,30.4262,0.8239,6.4454,201.423,7.751031501,19.162
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,20,7.993,12.014,30.4305,0.8051,6.4821,202.567,7.750031501,20.17
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,21,7.992,12.0004,30.4411,0.6921,6.4777,202.431,7.749031501,21.179
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,22,7.992,11.9945,30.4459,0.7276,6.441,201.284,7.749031501,22.187
